artwork,category,:TYPE
76,traditional_chinese_painting,BELONGS_TO_CATEGORY
77,sketching,BELONGS_TO_CATEGORY
78,sketching,BELONGS_TO_CATEGORY
79,sketching,BELONGS_TO_CATEGORY
80,sketching,BELONGS_TO_CATEGORY
81,sketching,BELONGS_TO_CATEGORY
82,oil_painting,BELONGS_TO_CATEGORY
83,sketching,BELONGS_TO_CATEGORY
84,sketching,BELONGS_TO_CATEGORY
85,oil_painting,BELONGS_TO_CATEGORY
86,oil_painting,BELONGS_TO_CATEGORY
87,sketching,BELONGS_TO_CATEGORY
88,traditional_chinese_painting,BELONGS_TO_CATEGORY
89,traditional_chinese_painting,BELONGS_TO_CATEGORY
90,sketching,BELONGS_TO_CATEGORY
91,sketching,BELONGS_TO_CATEGORY
92,traditional_chinese_painting,BELONGS_TO_CATEGORY
93,oil_painting,BELONGS_TO_CATEGORY
94,sketching,BELONGS_TO_CATEGORY
95,traditional_chinese_painting,BELONGS_TO_CATEGORY
96,oil_painting,BELONGS_TO_CATEGORY
97,traditional_chinese_painting,BELONGS_TO_CATEGORY
98,oil_painting,BELONGS_TO_CATEGORY
99,traditional_chinese_painting,BELONGS_TO_CATEGORY
100,sketching,BELONGS_TO_CATEGORY
101,sketching,BELONGS_TO_CATEGORY
102,oil_painting,BELONGS_TO_CATEGORY
103,traditional_chinese_painting,BELONGS_TO_CATEGORY
104,sketching,BELONGS_TO_CATEGORY
105,oil_painting,BELONGS_TO_CATEGORY
106,sketching,BELONGS_TO_CATEGORY
107,sketching,BELONGS_TO_CATEGORY
108,sketching,BELONGS_TO_CATEGORY
109,oil_painting,BELONGS_TO_CATEGORY
110,oil_painting,BELONGS_TO_CATEGORY
111,sketching,BELONGS_TO_CATEGORY
112,oil_painting,BELONGS_TO_CATEGORY
113,traditional_chinese_painting,BELONGS_TO_CATEGORY
114,sketching,BELONGS_TO_CATEGORY
115,traditional_chinese_painting,BELONGS_TO_CATEGORY
116,sketching,BELONGS_TO_CATEGORY
117,traditional_chinese_painting,BELONGS_TO_CATEGORY
118,oil_painting,BELONGS_TO_CATEGORY
119,sketching,BELONGS_TO_CATEGORY
120,oil_painting,BELONGS_TO_CATEGORY
121,oil_painting,BELONGS_TO_CATEGORY
122,sketching,BELONGS_TO_CATEGORY
123,traditional_chinese_painting,BELONGS_TO_CATEGORY
124,oil_painting,BELONGS_TO_CATEGORY
125,oil_painting,BELONGS_TO_CATEGORY
126,oil_painting,BELONGS_TO_CATEGORY
127,traditional_chinese_painting,BELONGS_TO_CATEGORY
128,traditional_chinese_painting,BELONGS_TO_CATEGORY
129,traditional_chinese_painting,BELONGS_TO_CATEGORY
130,traditional_chinese_painting,BELONGS_TO_CATEGORY
131,sketching,BELONGS_TO_CATEGORY
132,sketching,BELONGS_TO_CATEGORY
133,oil_painting,BELONGS_TO_CATEGORY
134,oil_painting,BELONGS_TO_CATEGORY
135,sketching,BELONGS_TO_CATEGORY
136,sketching,BELONGS_TO_CATEGORY
137,sketching,BELONGS_TO_CATEGORY
138,sketching,BELONGS_TO_CATEGORY
139,traditional_chinese_painting,BELONGS_TO_CATEGORY
140,sketching,BELONGS_TO_CATEGORY
141,traditional_chinese_painting,BELONGS_TO_CATEGORY
142,oil_painting,BELONGS_TO_CATEGORY
143,traditional_chinese_painting,BELONGS_TO_CATEGORY
144,traditional_chinese_painting,BELONGS_TO_CATEGORY
145,oil_painting,BELONGS_TO_CATEGORY
146,sketching,BELONGS_TO_CATEGORY
147,traditional_chinese_painting,BELONGS_TO_CATEGORY
148,oil_painting,BELONGS_TO_CATEGORY
149,traditional_chinese_painting,BELONGS_TO_CATEGORY
150,sketching,BELONGS_TO_CATEGORY
151,traditional_chinese_painting,BELONGS_TO_CATEGORY
152,traditional_chinese_painting,BELONGS_TO_CATEGORY
153,sketching,BELONGS_TO_CATEGORY
154,sketching,BELONGS_TO_CATEGORY
155,oil_painting,BELONGS_TO_CATEGORY
156,sketching,BELONGS_TO_CATEGORY
157,sketching,BELONGS_TO_CATEGORY
158,traditional_chinese_painting,BELONGS_TO_CATEGORY
159,oil_painting,BELONGS_TO_CATEGORY
160,sketching,BELONGS_TO_CATEGORY
161,oil_painting,BELONGS_TO_CATEGORY
162,traditional_chinese_painting,BELONGS_TO_CATEGORY
163,sketching,BELONGS_TO_CATEGORY
164,oil_painting,BELONGS_TO_CATEGORY
165,traditional_chinese_painting,BELONGS_TO_CATEGORY
166,sketching,BELONGS_TO_CATEGORY
167,oil_painting,BELONGS_TO_CATEGORY
168,sketching,BELONGS_TO_CATEGORY
169,oil_painting,BELONGS_TO_CATEGORY
170,sketching,BELONGS_TO_CATEGORY
171,sketching,BELONGS_TO_CATEGORY
172,traditional_chinese_painting,BELONGS_TO_CATEGORY
173,sketching,BELONGS_TO_CATEGORY
174,sketching,BELONGS_TO_CATEGORY
175,oil_painting,BELONGS_TO_CATEGORY
176,sketching,BELONGS_TO_CATEGORY
177,sketching,BELONGS_TO_CATEGORY
178,sketching,BELONGS_TO_CATEGORY
179,oil_painting,BELONGS_TO_CATEGORY
180,sketching,BELONGS_TO_CATEGORY
181,sketching,BELONGS_TO_CATEGORY
182,traditional_chinese_painting,BELONGS_TO_CATEGORY
183,sketching,BELONGS_TO_CATEGORY
184,sketching,BELONGS_TO_CATEGORY
185,sketching,BELONGS_TO_CATEGORY
186,sketching,BELONGS_TO_CATEGORY
187,oil_painting,BELONGS_TO_CATEGORY
188,oil_painting,BELONGS_TO_CATEGORY
189,traditional_chinese_painting,BELONGS_TO_CATEGORY
190,sketching,BELONGS_TO_CATEGORY
191,traditional_chinese_painting,BELONGS_TO_CATEGORY
192,oil_painting,BELONGS_TO_CATEGORY
193,oil_painting,BELONGS_TO_CATEGORY
194,traditional_chinese_painting,BELONGS_TO_CATEGORY
195,sketching,BELONGS_TO_CATEGORY
196,oil_painting,BELONGS_TO_CATEGORY
197,sketching,BELONGS_TO_CATEGORY
198,oil_painting,BELONGS_TO_CATEGORY
199,oil_painting,BELONGS_TO_CATEGORY
200,oil_painting,BELONGS_TO_CATEGORY
201,oil_painting,BELONGS_TO_CATEGORY
202,traditional_chinese_painting,BELONGS_TO_CATEGORY
203,traditional_chinese_painting,BELONGS_TO_CATEGORY
204,oil_painting,BELONGS_TO_CATEGORY
205,traditional_chinese_painting,BELONGS_TO_CATEGORY
206,sketching,BELONGS_TO_CATEGORY
207,oil_painting,BELONGS_TO_CATEGORY
208,sketching,BELONGS_TO_CATEGORY
209,oil_painting,BELONGS_TO_CATEGORY
210,sketching,BELONGS_TO_CATEGORY
211,oil_painting,BELONGS_TO_CATEGORY
212,oil_painting,BELONGS_TO_CATEGORY
213,sketching,BELONGS_TO_CATEGORY
214,oil_painting,BELONGS_TO_CATEGORY
215,sketching,BELONGS_TO_CATEGORY
216,oil_painting,BELONGS_TO_CATEGORY
217,sketching,BELONGS_TO_CATEGORY
218,sketching,BELONGS_TO_CATEGORY
219,oil_painting,BELONGS_TO_CATEGORY
220,sketching,BELONGS_TO_CATEGORY
221,traditional_chinese_painting,BELONGS_TO_CATEGORY
222,sketching,BELONGS_TO_CATEGORY
223,oil_painting,BELONGS_TO_CATEGORY
224,oil_painting,BELONGS_TO_CATEGORY
225,traditional_chinese_painting,BELONGS_TO_CATEGORY
226,oil_painting,BELONGS_TO_CATEGORY
227,oil_painting,BELONGS_TO_CATEGORY
228,oil_painting,BELONGS_TO_CATEGORY
229,oil_painting,BELONGS_TO_CATEGORY
230,oil_painting,BELONGS_TO_CATEGORY
231,oil_painting,BELONGS_TO_CATEGORY
232,sketching,BELONGS_TO_CATEGORY
233,oil_painting,BELONGS_TO_CATEGORY
234,sketching,BELONGS_TO_CATEGORY
235,sketching,BELONGS_TO_CATEGORY
236,traditional_chinese_painting,BELONGS_TO_CATEGORY
237,oil_painting,BELONGS_TO_CATEGORY
238,oil_painting,BELONGS_TO_CATEGORY
239,traditional_chinese_painting,BELONGS_TO_CATEGORY
240,traditional_chinese_painting,BELONGS_TO_CATEGORY
241,oil_painting,BELONGS_TO_CATEGORY
242,traditional_chinese_painting,BELONGS_TO_CATEGORY
243,traditional_chinese_painting,BELONGS_TO_CATEGORY
244,oil_painting,BELONGS_TO_CATEGORY
245,oil_painting,BELONGS_TO_CATEGORY
246,traditional_chinese_painting,BELONGS_TO_CATEGORY
247,traditional_chinese_painting,BELONGS_TO_CATEGORY
248,sketching,BELONGS_TO_CATEGORY
249,oil_painting,BELONGS_TO_CATEGORY
250,sketching,BELONGS_TO_CATEGORY
251,sketching,BELONGS_TO_CATEGORY
252,oil_painting,BELONGS_TO_CATEGORY
253,oil_painting,BELONGS_TO_CATEGORY
254,sketching,BELONGS_TO_CATEGORY
255,traditional_chinese_painting,BELONGS_TO_CATEGORY
256,oil_painting,BELONGS_TO_CATEGORY
257,oil_painting,BELONGS_TO_CATEGORY
258,sketching,BELONGS_TO_CATEGORY
259,traditional_chinese_painting,BELONGS_TO_CATEGORY
260,sketching,BELONGS_TO_CATEGORY
261,oil_painting,BELONGS_TO_CATEGORY
262,oil_painting,BELONGS_TO_CATEGORY
263,sketching,BELONGS_TO_CATEGORY
264,traditional_chinese_painting,BELONGS_TO_CATEGORY
265,sketching,BELONGS_TO_CATEGORY
266,sketching,BELONGS_TO_CATEGORY
267,oil_painting,BELONGS_TO_CATEGORY
268,sketching,BELONGS_TO_CATEGORY
269,oil_painting,BELONGS_TO_CATEGORY
270,traditional_chinese_painting,BELONGS_TO_CATEGORY
271,oil_painting,BELONGS_TO_CATEGORY
272,sketching,BELONGS_TO_CATEGORY
273,traditional_chinese_painting,BELONGS_TO_CATEGORY
274,sketching,BELONGS_TO_CATEGORY
275,traditional_chinese_painting,BELONGS_TO_CATEGORY
276,sketching,BELONGS_TO_CATEGORY
277,sketching,BELONGS_TO_CATEGORY
278,oil_painting,BELONGS_TO_CATEGORY
279,oil_painting,BELONGS_TO_CATEGORY
280,traditional_chinese_painting,BELONGS_TO_CATEGORY
281,traditional_chinese_painting,BELONGS_TO_CATEGORY
282,sketching,BELONGS_TO_CATEGORY
283,oil_painting,BELONGS_TO_CATEGORY
284,oil_painting,BELONGS_TO_CATEGORY
285,oil_painting,BELONGS_TO_CATEGORY
286,traditional_chinese_painting,BELONGS_TO_CATEGORY
287,oil_painting,BELONGS_TO_CATEGORY
288,sketching,BELONGS_TO_CATEGORY
289,traditional_chinese_painting,BELONGS_TO_CATEGORY
290,oil_painting,BELONGS_TO_CATEGORY
291,oil_painting,BELONGS_TO_CATEGORY
292,sketching,BELONGS_TO_CATEGORY
293,sketching,BELONGS_TO_CATEGORY
294,oil_painting,BELONGS_TO_CATEGORY
295,oil_painting,BELONGS_TO_CATEGORY
296,traditional_chinese_painting,BELONGS_TO_CATEGORY
297,oil_painting,BELONGS_TO_CATEGORY
298,sketching,BELONGS_TO_CATEGORY
299,sketching,BELONGS_TO_CATEGORY
300,sketching,BELONGS_TO_CATEGORY
301,oil_painting,BELONGS_TO_CATEGORY
302,oil_painting,BELONGS_TO_CATEGORY
303,sketching,BELONGS_TO_CATEGORY
304,traditional_chinese_painting,BELONGS_TO_CATEGORY
305,oil_painting,BELONGS_TO_CATEGORY
306,oil_painting,BELONGS_TO_CATEGORY
307,oil_painting,BELONGS_TO_CATEGORY
308,oil_painting,BELONGS_TO_CATEGORY
309,sketching,BELONGS_TO_CATEGORY
310,sketching,BELONGS_TO_CATEGORY
311,oil_painting,BELONGS_TO_CATEGORY
312,oil_painting,BELONGS_TO_CATEGORY
313,sketching,BELONGS_TO_CATEGORY
314,sketching,BELONGS_TO_CATEGORY
315,sketching,BELONGS_TO_CATEGORY
316,sketching,BELONGS_TO_CATEGORY
317,traditional_chinese_painting,BELONGS_TO_CATEGORY
318,oil_painting,BELONGS_TO_CATEGORY
319,sketching,BELONGS_TO_CATEGORY
320,traditional_chinese_painting,BELONGS_TO_CATEGORY
321,sketching,BELONGS_TO_CATEGORY
322,sketching,BELONGS_TO_CATEGORY
323,oil_painting,BELONGS_TO_CATEGORY
324,sketching,BELONGS_TO_CATEGORY
325,traditional_chinese_painting,BELONGS_TO_CATEGORY
326,sketching,BELONGS_TO_CATEGORY
327,sketching,BELONGS_TO_CATEGORY
328,oil_painting,BELONGS_TO_CATEGORY
329,sketching,BELONGS_TO_CATEGORY
330,traditional_chinese_painting,BELONGS_TO_CATEGORY
331,oil_painting,BELONGS_TO_CATEGORY
332,sketching,BELONGS_TO_CATEGORY
333,traditional_chinese_painting,BELONGS_TO_CATEGORY
334,sketching,BELONGS_TO_CATEGORY
335,sketching,BELONGS_TO_CATEGORY
336,oil_painting,BELONGS_TO_CATEGORY
337,sketching,BELONGS_TO_CATEGORY
338,sketching,BELONGS_TO_CATEGORY
339,traditional_chinese_painting,BELONGS_TO_CATEGORY
340,oil_painting,BELONGS_TO_CATEGORY
341,oil_painting,BELONGS_TO_CATEGORY
342,sketching,BELONGS_TO_CATEGORY
343,traditional_chinese_painting,BELONGS_TO_CATEGORY
344,traditional_chinese_painting,BELONGS_TO_CATEGORY
345,oil_painting,BELONGS_TO_CATEGORY
346,oil_painting,BELONGS_TO_CATEGORY
347,sketching,BELONGS_TO_CATEGORY
348,traditional_chinese_painting,BELONGS_TO_CATEGORY
349,sketching,BELONGS_TO_CATEGORY
350,sketching,BELONGS_TO_CATEGORY
351,oil_painting,BELONGS_TO_CATEGORY
352,oil_painting,BELONGS_TO_CATEGORY
353,oil_painting,BELONGS_TO_CATEGORY
354,oil_painting,BELONGS_TO_CATEGORY
355,traditional_chinese_painting,BELONGS_TO_CATEGORY
356,oil_painting,BELONGS_TO_CATEGORY
357,traditional_chinese_painting,BELONGS_TO_CATEGORY
358,sketching,BELONGS_TO_CATEGORY
359,oil_painting,BELONGS_TO_CATEGORY
360,sketching,BELONGS_TO_CATEGORY
361,sketching,BELONGS_TO_CATEGORY
362,sketching,BELONGS_TO_CATEGORY
363,sketching,BELONGS_TO_CATEGORY
364,sketching,BELONGS_TO_CATEGORY
365,traditional_chinese_painting,BELONGS_TO_CATEGORY
366,sketching,BELONGS_TO_CATEGORY
367,oil_painting,BELONGS_TO_CATEGORY
368,oil_painting,BELONGS_TO_CATEGORY
369,traditional_chinese_painting,BELONGS_TO_CATEGORY
370,traditional_chinese_painting,BELONGS_TO_CATEGORY
371,traditional_chinese_painting,BELONGS_TO_CATEGORY
372,oil_painting,BELONGS_TO_CATEGORY
373,oil_painting,BELONGS_TO_CATEGORY
374,oil_painting,BELONGS_TO_CATEGORY
375,traditional_chinese_painting,BELONGS_TO_CATEGORY
376,oil_painting,BELONGS_TO_CATEGORY
377,sketching,BELONGS_TO_CATEGORY
378,traditional_chinese_painting,BELONGS_TO_CATEGORY
379,sketching,BELONGS_TO_CATEGORY
380,sketching,BELONGS_TO_CATEGORY
381,sketching,BELONGS_TO_CATEGORY
382,oil_painting,BELONGS_TO_CATEGORY
383,sketching,BELONGS_TO_CATEGORY
384,sketching,BELONGS_TO_CATEGORY
385,traditional_chinese_painting,BELONGS_TO_CATEGORY
386,sketching,BELONGS_TO_CATEGORY
387,traditional_chinese_painting,BELONGS_TO_CATEGORY
388,oil_painting,BELONGS_TO_CATEGORY
389,sketching,BELONGS_TO_CATEGORY
390,sketching,BELONGS_TO_CATEGORY
391,oil_painting,BELONGS_TO_CATEGORY
392,oil_painting,BELONGS_TO_CATEGORY
393,traditional_chinese_painting,BELONGS_TO_CATEGORY
394,sketching,BELONGS_TO_CATEGORY
395,oil_painting,BELONGS_TO_CATEGORY
396,sketching,BELONGS_TO_CATEGORY
397,traditional_chinese_painting,BELONGS_TO_CATEGORY
398,traditional_chinese_painting,BELONGS_TO_CATEGORY
399,traditional_chinese_painting,BELONGS_TO_CATEGORY
400,traditional_chinese_painting,BELONGS_TO_CATEGORY
401,sketching,BELONGS_TO_CATEGORY
402,traditional_chinese_painting,BELONGS_TO_CATEGORY
403,oil_painting,BELONGS_TO_CATEGORY
404,sketching,BELONGS_TO_CATEGORY
405,sketching,BELONGS_TO_CATEGORY
406,sketching,BELONGS_TO_CATEGORY
407,oil_painting,BELONGS_TO_CATEGORY
408,traditional_chinese_painting,BELONGS_TO_CATEGORY
409,oil_painting,BELONGS_TO_CATEGORY
410,sketching,BELONGS_TO_CATEGORY
411,sketching,BELONGS_TO_CATEGORY
412,oil_painting,BELONGS_TO_CATEGORY
413,traditional_chinese_painting,BELONGS_TO_CATEGORY
414,oil_painting,BELONGS_TO_CATEGORY
415,sketching,BELONGS_TO_CATEGORY
416,traditional_chinese_painting,BELONGS_TO_CATEGORY
417,oil_painting,BELONGS_TO_CATEGORY
418,oil_painting,BELONGS_TO_CATEGORY
419,oil_painting,BELONGS_TO_CATEGORY
420,sketching,BELONGS_TO_CATEGORY
421,traditional_chinese_painting,BELONGS_TO_CATEGORY
422,traditional_chinese_painting,BELONGS_TO_CATEGORY
423,traditional_chinese_painting,BELONGS_TO_CATEGORY
424,oil_painting,BELONGS_TO_CATEGORY
425,sketching,BELONGS_TO_CATEGORY
426,sketching,BELONGS_TO_CATEGORY
427,oil_painting,BELONGS_TO_CATEGORY
428,sketching,BELONGS_TO_CATEGORY
429,sketching,BELONGS_TO_CATEGORY
430,sketching,BELONGS_TO_CATEGORY
431,sketching,BELONGS_TO_CATEGORY
432,sketching,BELONGS_TO_CATEGORY
433,oil_painting,BELONGS_TO_CATEGORY
434,oil_painting,BELONGS_TO_CATEGORY
435,oil_painting,BELONGS_TO_CATEGORY
436,sketching,BELONGS_TO_CATEGORY
437,oil_painting,BELONGS_TO_CATEGORY
438,sketching,BELONGS_TO_CATEGORY
439,sketching,BELONGS_TO_CATEGORY
440,sketching,BELONGS_TO_CATEGORY
441,oil_painting,BELONGS_TO_CATEGORY
442,sketching,BELONGS_TO_CATEGORY
443,sketching,BELONGS_TO_CATEGORY
444,sketching,BELONGS_TO_CATEGORY
445,oil_painting,BELONGS_TO_CATEGORY
446,oil_painting,BELONGS_TO_CATEGORY
447,traditional_chinese_painting,BELONGS_TO_CATEGORY
448,sketching,BELONGS_TO_CATEGORY
449,sketching,BELONGS_TO_CATEGORY
450,sketching,BELONGS_TO_CATEGORY
451,oil_painting,BELONGS_TO_CATEGORY
452,sketching,BELONGS_TO_CATEGORY
453,sketching,BELONGS_TO_CATEGORY
454,sketching,BELONGS_TO_CATEGORY
455,oil_painting,BELONGS_TO_CATEGORY
456,sketching,BELONGS_TO_CATEGORY
457,sketching,BELONGS_TO_CATEGORY
458,sketching,BELONGS_TO_CATEGORY
459,oil_painting,BELONGS_TO_CATEGORY
460,traditional_chinese_painting,BELONGS_TO_CATEGORY
461,oil_painting,BELONGS_TO_CATEGORY
462,sketching,BELONGS_TO_CATEGORY
463,oil_painting,BELONGS_TO_CATEGORY
464,traditional_chinese_painting,BELONGS_TO_CATEGORY
465,sketching,BELONGS_TO_CATEGORY
466,oil_painting,BELONGS_TO_CATEGORY
467,traditional_chinese_painting,BELONGS_TO_CATEGORY
468,oil_painting,BELONGS_TO_CATEGORY
469,oil_painting,BELONGS_TO_CATEGORY
470,sketching,BELONGS_TO_CATEGORY
471,oil_painting,BELONGS_TO_CATEGORY
472,sketching,BELONGS_TO_CATEGORY
473,oil_painting,BELONGS_TO_CATEGORY
474,oil_painting,BELONGS_TO_CATEGORY
475,sketching,BELONGS_TO_CATEGORY
476,traditional_chinese_painting,BELONGS_TO_CATEGORY
477,oil_painting,BELONGS_TO_CATEGORY
478,oil_painting,BELONGS_TO_CATEGORY
479,traditional_chinese_painting,BELONGS_TO_CATEGORY
480,oil_painting,BELONGS_TO_CATEGORY
481,oil_painting,BELONGS_TO_CATEGORY
482,traditional_chinese_painting,BELONGS_TO_CATEGORY
483,sketching,BELONGS_TO_CATEGORY
484,traditional_chinese_painting,BELONGS_TO_CATEGORY
485,oil_painting,BELONGS_TO_CATEGORY
486,sketching,BELONGS_TO_CATEGORY
487,sketching,BELONGS_TO_CATEGORY
488,oil_painting,BELONGS_TO_CATEGORY
489,traditional_chinese_painting,BELONGS_TO_CATEGORY
490,sketching,BELONGS_TO_CATEGORY
491,sketching,BELONGS_TO_CATEGORY
492,sketching,BELONGS_TO_CATEGORY
493,oil_painting,BELONGS_TO_CATEGORY
494,sketching,BELONGS_TO_CATEGORY
495,traditional_chinese_painting,BELONGS_TO_CATEGORY
496,sketching,BELONGS_TO_CATEGORY
497,sketching,BELONGS_TO_CATEGORY
498,sketching,BELONGS_TO_CATEGORY
499,traditional_chinese_painting,BELONGS_TO_CATEGORY
500,oil_painting,BELONGS_TO_CATEGORY
501,sketching,BELONGS_TO_CATEGORY
502,sketching,BELONGS_TO_CATEGORY
503,traditional_chinese_painting,BELONGS_TO_CATEGORY
504,sketching,BELONGS_TO_CATEGORY
505,oil_painting,BELONGS_TO_CATEGORY
506,sketching,BELONGS_TO_CATEGORY
507,sketching,BELONGS_TO_CATEGORY
508,oil_painting,BELONGS_TO_CATEGORY
509,traditional_chinese_painting,BELONGS_TO_CATEGORY
510,oil_painting,BELONGS_TO_CATEGORY
511,oil_painting,BELONGS_TO_CATEGORY
512,sketching,BELONGS_TO_CATEGORY
513,sketching,BELONGS_TO_CATEGORY
514,sketching,BELONGS_TO_CATEGORY
515,oil_painting,BELONGS_TO_CATEGORY
516,sketching,BELONGS_TO_CATEGORY
517,oil_painting,BELONGS_TO_CATEGORY
518,sketching,BELONGS_TO_CATEGORY
519,oil_painting,BELONGS_TO_CATEGORY
520,sketching,BELONGS_TO_CATEGORY
521,traditional_chinese_painting,BELONGS_TO_CATEGORY
522,traditional_chinese_painting,BELONGS_TO_CATEGORY
523,sketching,BELONGS_TO_CATEGORY
524,sketching,BELONGS_TO_CATEGORY
525,sketching,BELONGS_TO_CATEGORY
526,sketching,BELONGS_TO_CATEGORY
527,sketching,BELONGS_TO_CATEGORY
528,sketching,BELONGS_TO_CATEGORY
529,oil_painting,BELONGS_TO_CATEGORY
530,sketching,BELONGS_TO_CATEGORY
531,sketching,BELONGS_TO_CATEGORY
532,sketching,BELONGS_TO_CATEGORY
533,traditional_chinese_painting,BELONGS_TO_CATEGORY
534,oil_painting,BELONGS_TO_CATEGORY
535,sketching,BELONGS_TO_CATEGORY
536,sketching,BELONGS_TO_CATEGORY
537,sketching,BELONGS_TO_CATEGORY
538,oil_painting,BELONGS_TO_CATEGORY
539,traditional_chinese_painting,BELONGS_TO_CATEGORY
540,sketching,BELONGS_TO_CATEGORY
541,oil_painting,BELONGS_TO_CATEGORY
542,sketching,BELONGS_TO_CATEGORY
543,sketching,BELONGS_TO_CATEGORY
544,oil_painting,BELONGS_TO_CATEGORY
545,oil_painting,BELONGS_TO_CATEGORY
546,traditional_chinese_painting,BELONGS_TO_CATEGORY
547,oil_painting,BELONGS_TO_CATEGORY
548,traditional_chinese_painting,BELONGS_TO_CATEGORY
549,traditional_chinese_painting,BELONGS_TO_CATEGORY
550,oil_painting,BELONGS_TO_CATEGORY
551,sketching,BELONGS_TO_CATEGORY
552,sketching,BELONGS_TO_CATEGORY
553,traditional_chinese_painting,BELONGS_TO_CATEGORY
554,traditional_chinese_painting,BELONGS_TO_CATEGORY
555,oil_painting,BELONGS_TO_CATEGORY
556,traditional_chinese_painting,BELONGS_TO_CATEGORY
557,oil_painting,BELONGS_TO_CATEGORY
558,traditional_chinese_painting,BELONGS_TO_CATEGORY
559,sketching,BELONGS_TO_CATEGORY
560,sketching,BELONGS_TO_CATEGORY
561,oil_painting,BELONGS_TO_CATEGORY
562,oil_painting,BELONGS_TO_CATEGORY
563,oil_painting,BELONGS_TO_CATEGORY
564,sketching,BELONGS_TO_CATEGORY
565,traditional_chinese_painting,BELONGS_TO_CATEGORY
566,sketching,BELONGS_TO_CATEGORY
567,sketching,BELONGS_TO_CATEGORY
568,sketching,BELONGS_TO_CATEGORY
569,sketching,BELONGS_TO_CATEGORY
570,sketching,BELONGS_TO_CATEGORY
571,traditional_chinese_painting,BELONGS_TO_CATEGORY
572,sketching,BELONGS_TO_CATEGORY
573,traditional_chinese_painting,BELONGS_TO_CATEGORY
574,oil_painting,BELONGS_TO_CATEGORY
