artwork,style,:TYPE
56,romanticism,BELONGS_TO_STYLE
57,classicism,BELONGS_TO_STYLE
58,freehand,BELONGS_TO_STYLE
59,meticulous,BELONGS_TO_STYLE
60,romanticism,BELONGS_TO_STYLE
61,freehand,BELONGS_TO_STYLE
62,romanticism,BELONGS_TO_STYLE
63,meticulous,BELONGS_TO_STYLE
64,classicism,BELONGS_TO_STYLE
65,symbolism,BELONGS_TO_STYLE
66,romanticism,BELONGS_TO_STYLE
67,classicism,BELONGS_TO_STYLE
68,freehand,BELONGS_TO_STYLE
69,classicism,BELONGS_TO_STYLE
70,classicism,BELONGS_TO_STYLE
71,classicism,BELONGS_TO_STYLE
72,symbolism,BELONGS_TO_STYLE
73,symbolism,BELONGS_TO_STYLE
74,symbolism,BELONGS_TO_STYLE
75,symbolism,BELONGS_TO_STYLE
76,freehand,BELONGS_TO_STYLE
77,romanticism,BELONGS_TO_STYLE
78,symbolism,BELONGS_TO_STYLE
79,symbolism,BELONGS_TO_STYLE
80,romanticism,BELONGS_TO_STYLE
81,classicism,BELONGS_TO_STYLE
82,classicism,BELONGS_TO_STYLE
83,classicism,BELONGS_TO_STYLE
84,romanticism,BELONGS_TO_STYLE
85,symbolism,BELONGS_TO_STYLE
86,symbolism,BELONGS_TO_STYLE
87,symbolism,BELONGS_TO_STYLE
88,freehand,BELONGS_TO_STYLE
89,meticulous,BELONGS_TO_STYLE
90,symbolism,BELONGS_TO_STYLE
91,symbolism,BELONGS_TO_STYLE
92,meticulous,BELONGS_TO_STYLE
93,symbolism,BELONGS_TO_STYLE
94,symbolism,BELONGS_TO_STYLE
95,freehand,BELONGS_TO_STYLE
96,romanticism,BELONGS_TO_STYLE
97,meticulous,BELONGS_TO_STYLE
98,classicism,BELONGS_TO_STYLE
99,meticulous,BELONGS_TO_STYLE
100,classicism,BELONGS_TO_STYLE
101,romanticism,BELONGS_TO_STYLE
102,romanticism,BELONGS_TO_STYLE
103,meticulous,BELONGS_TO_STYLE
104,classicism,BELONGS_TO_STYLE
105,symbolism,BELONGS_TO_STYLE
106,symbolism,BELONGS_TO_STYLE
107,classicism,BELONGS_TO_STYLE
108,symbolism,BELONGS_TO_STYLE
109,classicism,BELONGS_TO_STYLE
110,romanticism,BELONGS_TO_STYLE
111,classicism,BELONGS_TO_STYLE
112,classicism,BELONGS_TO_STYLE
113,meticulous,BELONGS_TO_STYLE
114,romanticism,BELONGS_TO_STYLE
115,meticulous,BELONGS_TO_STYLE
116,symbolism,BELONGS_TO_STYLE
117,freehand,BELONGS_TO_STYLE
118,classicism,BELONGS_TO_STYLE
119,symbolism,BELONGS_TO_STYLE
120,classicism,BELONGS_TO_STYLE
121,symbolism,BELONGS_TO_STYLE
122,symbolism,BELONGS_TO_STYLE
123,meticulous,BELONGS_TO_STYLE
124,symbolism,BELONGS_TO_STYLE
125,romanticism,BELONGS_TO_STYLE
126,classicism,BELONGS_TO_STYLE
127,meticulous,BELONGS_TO_STYLE
128,meticulous,BELONGS_TO_STYLE
129,freehand,BELONGS_TO_STYLE
130,freehand,BELONGS_TO_STYLE
131,symbolism,BELONGS_TO_STYLE
132,classicism,BELONGS_TO_STYLE
133,romanticism,BELONGS_TO_STYLE
134,symbolism,BELONGS_TO_STYLE
135,romanticism,BELONGS_TO_STYLE
136,classicism,BELONGS_TO_STYLE
137,classicism,BELONGS_TO_STYLE
138,symbolism,BELONGS_TO_STYLE
139,meticulous,BELONGS_TO_STYLE
140,classicism,BELONGS_TO_STYLE
141,meticulous,BELONGS_TO_STYLE
142,romanticism,BELONGS_TO_STYLE
143,freehand,BELONGS_TO_STYLE
144,meticulous,BELONGS_TO_STYLE
145,classicism,BELONGS_TO_STYLE
146,classicism,BELONGS_TO_STYLE
147,freehand,BELONGS_TO_STYLE
148,romanticism,BELONGS_TO_STYLE
149,meticulous,BELONGS_TO_STYLE
150,romanticism,BELONGS_TO_STYLE
151,meticulous,BELONGS_TO_STYLE
152,freehand,BELONGS_TO_STYLE
153,classicism,BELONGS_TO_STYLE
154,classicism,BELONGS_TO_STYLE
155,romanticism,BELONGS_TO_STYLE
156,romanticism,BELONGS_TO_STYLE
157,romanticism,BELONGS_TO_STYLE
158,freehand,BELONGS_TO_STYLE
159,romanticism,BELONGS_TO_STYLE
160,symbolism,BELONGS_TO_STYLE
161,romanticism,BELONGS_TO_STYLE
162,meticulous,BELONGS_TO_STYLE
163,classicism,BELONGS_TO_STYLE
164,classicism,BELONGS_TO_STYLE
165,freehand,BELONGS_TO_STYLE
166,classicism,BELONGS_TO_STYLE
167,romanticism,BELONGS_TO_STYLE
168,romanticism,BELONGS_TO_STYLE
169,symbolism,BELONGS_TO_STYLE
170,classicism,BELONGS_TO_STYLE
171,symbolism,BELONGS_TO_STYLE
172,meticulous,BELONGS_TO_STYLE
173,romanticism,BELONGS_TO_STYLE
174,classicism,BELONGS_TO_STYLE
175,romanticism,BELONGS_TO_STYLE
176,romanticism,BELONGS_TO_STYLE
177,romanticism,BELONGS_TO_STYLE
178,classicism,BELONGS_TO_STYLE
179,classicism,BELONGS_TO_STYLE
180,symbolism,BELONGS_TO_STYLE
181,classicism,BELONGS_TO_STYLE
182,meticulous,BELONGS_TO_STYLE
183,classicism,BELONGS_TO_STYLE
184,romanticism,BELONGS_TO_STYLE
185,romanticism,BELONGS_TO_STYLE
186,symbolism,BELONGS_TO_STYLE
187,symbolism,BELONGS_TO_STYLE
188,symbolism,BELONGS_TO_STYLE
189,meticulous,BELONGS_TO_STYLE
190,romanticism,BELONGS_TO_STYLE
191,freehand,BELONGS_TO_STYLE
192,classicism,BELONGS_TO_STYLE
193,romanticism,BELONGS_TO_STYLE
194,freehand,BELONGS_TO_STYLE
195,romanticism,BELONGS_TO_STYLE
196,romanticism,BELONGS_TO_STYLE
197,romanticism,BELONGS_TO_STYLE
198,romanticism,BELONGS_TO_STYLE
199,romanticism,BELONGS_TO_STYLE
200,classicism,BELONGS_TO_STYLE
201,romanticism,BELONGS_TO_STYLE
202,freehand,BELONGS_TO_STYLE
203,freehand,BELONGS_TO_STYLE
204,symbolism,BELONGS_TO_STYLE
205,meticulous,BELONGS_TO_STYLE
206,classicism,BELONGS_TO_STYLE
207,symbolism,BELONGS_TO_STYLE
208,symbolism,BELONGS_TO_STYLE
209,classicism,BELONGS_TO_STYLE
210,romanticism,BELONGS_TO_STYLE
211,classicism,BELONGS_TO_STYLE
212,classicism,BELONGS_TO_STYLE
213,symbolism,BELONGS_TO_STYLE
214,classicism,BELONGS_TO_STYLE
215,classicism,BELONGS_TO_STYLE
216,symbolism,BELONGS_TO_STYLE
217,romanticism,BELONGS_TO_STYLE
218,romanticism,BELONGS_TO_STYLE
219,symbolism,BELONGS_TO_STYLE
220,romanticism,BELONGS_TO_STYLE
221,freehand,BELONGS_TO_STYLE
222,classicism,BELONGS_TO_STYLE
223,classicism,BELONGS_TO_STYLE
224,classicism,BELONGS_TO_STYLE
225,freehand,BELONGS_TO_STYLE
226,classicism,BELONGS_TO_STYLE
227,romanticism,BELONGS_TO_STYLE
228,classicism,BELONGS_TO_STYLE
229,classicism,BELONGS_TO_STYLE
230,classicism,BELONGS_TO_STYLE
231,romanticism,BELONGS_TO_STYLE
232,classicism,BELONGS_TO_STYLE
233,romanticism,BELONGS_TO_STYLE
234,romanticism,BELONGS_TO_STYLE
235,classicism,BELONGS_TO_STYLE
236,meticulous,BELONGS_TO_STYLE
237,classicism,BELONGS_TO_STYLE
238,romanticism,BELONGS_TO_STYLE
239,freehand,BELONGS_TO_STYLE
240,freehand,BELONGS_TO_STYLE
241,classicism,BELONGS_TO_STYLE
242,freehand,BELONGS_TO_STYLE
243,meticulous,BELONGS_TO_STYLE
244,romanticism,BELONGS_TO_STYLE
245,classicism,BELONGS_TO_STYLE
246,freehand,BELONGS_TO_STYLE
247,freehand,BELONGS_TO_STYLE
248,classicism,BELONGS_TO_STYLE
249,classicism,BELONGS_TO_STYLE
250,symbolism,BELONGS_TO_STYLE
251,classicism,BELONGS_TO_STYLE
252,classicism,BELONGS_TO_STYLE
253,symbolism,BELONGS_TO_STYLE
254,symbolism,BELONGS_TO_STYLE
255,meticulous,BELONGS_TO_STYLE
256,classicism,BELONGS_TO_STYLE
257,romanticism,BELONGS_TO_STYLE
258,classicism,BELONGS_TO_STYLE
259,freehand,BELONGS_TO_STYLE
260,romanticism,BELONGS_TO_STYLE
261,classicism,BELONGS_TO_STYLE
262,classicism,BELONGS_TO_STYLE
263,classicism,BELONGS_TO_STYLE
264,meticulous,BELONGS_TO_STYLE
265,classicism,BELONGS_TO_STYLE
266,classicism,BELONGS_TO_STYLE
267,symbolism,BELONGS_TO_STYLE
268,symbolism,BELONGS_TO_STYLE
269,romanticism,BELONGS_TO_STYLE
270,freehand,BELONGS_TO_STYLE
271,symbolism,BELONGS_TO_STYLE
272,symbolism,BELONGS_TO_STYLE
273,freehand,BELONGS_TO_STYLE
274,classicism,BELONGS_TO_STYLE
275,freehand,BELONGS_TO_STYLE
276,romanticism,BELONGS_TO_STYLE
277,romanticism,BELONGS_TO_STYLE
278,classicism,BELONGS_TO_STYLE
279,symbolism,BELONGS_TO_STYLE
280,meticulous,BELONGS_TO_STYLE
281,freehand,BELONGS_TO_STYLE
282,romanticism,BELONGS_TO_STYLE
283,classicism,BELONGS_TO_STYLE
284,symbolism,BELONGS_TO_STYLE
285,romanticism,BELONGS_TO_STYLE
286,freehand,BELONGS_TO_STYLE
287,classicism,BELONGS_TO_STYLE
288,romanticism,BELONGS_TO_STYLE
289,freehand,BELONGS_TO_STYLE
290,romanticism,BELONGS_TO_STYLE
291,romanticism,BELONGS_TO_STYLE
292,symbolism,BELONGS_TO_STYLE
293,classicism,BELONGS_TO_STYLE
294,romanticism,BELONGS_TO_STYLE
295,classicism,BELONGS_TO_STYLE
296,meticulous,BELONGS_TO_STYLE
297,classicism,BELONGS_TO_STYLE
298,symbolism,BELONGS_TO_STYLE
299,classicism,BELONGS_TO_STYLE
300,romanticism,BELONGS_TO_STYLE
301,symbolism,BELONGS_TO_STYLE
302,romanticism,BELONGS_TO_STYLE
303,symbolism,BELONGS_TO_STYLE
304,freehand,BELONGS_TO_STYLE
305,classicism,BELONGS_TO_STYLE
306,classicism,BELONGS_TO_STYLE
307,romanticism,BELONGS_TO_STYLE
308,romanticism,BELONGS_TO_STYLE
309,romanticism,BELONGS_TO_STYLE
310,symbolism,BELONGS_TO_STYLE
311,classicism,BELONGS_TO_STYLE
312,romanticism,BELONGS_TO_STYLE
313,romanticism,BELONGS_TO_STYLE
314,symbolism,BELONGS_TO_STYLE
315,symbolism,BELONGS_TO_STYLE
316,romanticism,BELONGS_TO_STYLE
317,meticulous,BELONGS_TO_STYLE
318,classicism,BELONGS_TO_STYLE
319,symbolism,BELONGS_TO_STYLE
320,freehand,BELONGS_TO_STYLE
321,classicism,BELONGS_TO_STYLE
322,romanticism,BELONGS_TO_STYLE
323,classicism,BELONGS_TO_STYLE
324,classicism,BELONGS_TO_STYLE
325,freehand,BELONGS_TO_STYLE
326,classicism,BELONGS_TO_STYLE
327,romanticism,BELONGS_TO_STYLE
328,romanticism,BELONGS_TO_STYLE
329,romanticism,BELONGS_TO_STYLE
330,meticulous,BELONGS_TO_STYLE
331,classicism,BELONGS_TO_STYLE
332,symbolism,BELONGS_TO_STYLE
333,meticulous,BELONGS_TO_STYLE
334,romanticism,BELONGS_TO_STYLE
335,romanticism,BELONGS_TO_STYLE
336,classicism,BELONGS_TO_STYLE
337,romanticism,BELONGS_TO_STYLE
338,symbolism,BELONGS_TO_STYLE
339,freehand,BELONGS_TO_STYLE
340,romanticism,BELONGS_TO_STYLE
341,symbolism,BELONGS_TO_STYLE
342,romanticism,BELONGS_TO_STYLE
343,freehand,BELONGS_TO_STYLE
344,freehand,BELONGS_TO_STYLE
345,classicism,BELONGS_TO_STYLE
346,romanticism,BELONGS_TO_STYLE
347,romanticism,BELONGS_TO_STYLE
348,freehand,BELONGS_TO_STYLE
349,classicism,BELONGS_TO_STYLE
350,classicism,BELONGS_TO_STYLE
351,classicism,BELONGS_TO_STYLE
352,romanticism,BELONGS_TO_STYLE
353,classicism,BELONGS_TO_STYLE
354,symbolism,BELONGS_TO_STYLE
355,meticulous,BELONGS_TO_STYLE
356,symbolism,BELONGS_TO_STYLE
357,freehand,BELONGS_TO_STYLE
358,romanticism,BELONGS_TO_STYLE
359,romanticism,BELONGS_TO_STYLE
360,symbolism,BELONGS_TO_STYLE
361,romanticism,BELONGS_TO_STYLE
362,romanticism,BELONGS_TO_STYLE
363,romanticism,BELONGS_TO_STYLE
364,symbolism,BELONGS_TO_STYLE
365,meticulous,BELONGS_TO_STYLE
366,romanticism,BELONGS_TO_STYLE
367,romanticism,BELONGS_TO_STYLE
368,symbolism,BELONGS_TO_STYLE
369,freehand,BELONGS_TO_STYLE
370,freehand,BELONGS_TO_STYLE
371,meticulous,BELONGS_TO_STYLE
372,symbolism,BELONGS_TO_STYLE
373,classicism,BELONGS_TO_STYLE
374,romanticism,BELONGS_TO_STYLE
375,freehand,BELONGS_TO_STYLE
376,classicism,BELONGS_TO_STYLE
377,symbolism,BELONGS_TO_STYLE
378,freehand,BELONGS_TO_STYLE
379,romanticism,BELONGS_TO_STYLE
380,classicism,BELONGS_TO_STYLE
381,romanticism,BELONGS_TO_STYLE
382,romanticism,BELONGS_TO_STYLE
383,symbolism,BELONGS_TO_STYLE
384,classicism,BELONGS_TO_STYLE
385,freehand,BELONGS_TO_STYLE
386,symbolism,BELONGS_TO_STYLE
387,meticulous,BELONGS_TO_STYLE
388,symbolism,BELONGS_TO_STYLE
389,romanticism,BELONGS_TO_STYLE
390,romanticism,BELONGS_TO_STYLE
391,symbolism,BELONGS_TO_STYLE
392,classicism,BELONGS_TO_STYLE
393,freehand,BELONGS_TO_STYLE
394,classicism,BELONGS_TO_STYLE
395,symbolism,BELONGS_TO_STYLE
396,classicism,BELONGS_TO_STYLE
397,meticulous,BELONGS_TO_STYLE
398,meticulous,BELONGS_TO_STYLE
399,meticulous,BELONGS_TO_STYLE
400,freehand,BELONGS_TO_STYLE
401,symbolism,BELONGS_TO_STYLE
402,freehand,BELONGS_TO_STYLE
403,symbolism,BELONGS_TO_STYLE
404,symbolism,BELONGS_TO_STYLE
405,symbolism,BELONGS_TO_STYLE
406,symbolism,BELONGS_TO_STYLE
407,symbolism,BELONGS_TO_STYLE
408,meticulous,BELONGS_TO_STYLE
409,classicism,BELONGS_TO_STYLE
410,symbolism,BELONGS_TO_STYLE
411,symbolism,BELONGS_TO_STYLE
412,romanticism,BELONGS_TO_STYLE
413,freehand,BELONGS_TO_STYLE
414,romanticism,BELONGS_TO_STYLE
415,classicism,BELONGS_TO_STYLE
416,meticulous,BELONGS_TO_STYLE
417,romanticism,BELONGS_TO_STYLE
418,symbolism,BELONGS_TO_STYLE
419,symbolism,BELONGS_TO_STYLE
420,symbolism,BELONGS_TO_STYLE
421,meticulous,BELONGS_TO_STYLE
422,freehand,BELONGS_TO_STYLE
423,meticulous,BELONGS_TO_STYLE
424,romanticism,BELONGS_TO_STYLE
425,symbolism,BELONGS_TO_STYLE
426,classicism,BELONGS_TO_STYLE
427,romanticism,BELONGS_TO_STYLE
428,symbolism,BELONGS_TO_STYLE
429,classicism,BELONGS_TO_STYLE
430,classicism,BELONGS_TO_STYLE
431,symbolism,BELONGS_TO_STYLE
432,romanticism,BELONGS_TO_STYLE
433,romanticism,BELONGS_TO_STYLE
434,symbolism,BELONGS_TO_STYLE
435,symbolism,BELONGS_TO_STYLE
436,classicism,BELONGS_TO_STYLE
437,symbolism,BELONGS_TO_STYLE
438,symbolism,BELONGS_TO_STYLE
439,romanticism,BELONGS_TO_STYLE
440,classicism,BELONGS_TO_STYLE
441,romanticism,BELONGS_TO_STYLE
442,classicism,BELONGS_TO_STYLE
443,classicism,BELONGS_TO_STYLE
444,symbolism,BELONGS_TO_STYLE
445,symbolism,BELONGS_TO_STYLE
446,romanticism,BELONGS_TO_STYLE
447,freehand,BELONGS_TO_STYLE
448,symbolism,BELONGS_TO_STYLE
449,romanticism,BELONGS_TO_STYLE
450,symbolism,BELONGS_TO_STYLE
451,romanticism,BELONGS_TO_STYLE
452,symbolism,BELONGS_TO_STYLE
453,classicism,BELONGS_TO_STYLE
454,classicism,BELONGS_TO_STYLE
455,romanticism,BELONGS_TO_STYLE
456,symbolism,BELONGS_TO_STYLE
457,symbolism,BELONGS_TO_STYLE
458,classicism,BELONGS_TO_STYLE
459,symbolism,BELONGS_TO_STYLE
460,meticulous,BELONGS_TO_STYLE
461,classicism,BELONGS_TO_STYLE
462,romanticism,BELONGS_TO_STYLE
463,classicism,BELONGS_TO_STYLE
464,freehand,BELONGS_TO_STYLE
465,classicism,BELONGS_TO_STYLE
466,symbolism,BELONGS_TO_STYLE
467,freehand,BELONGS_TO_STYLE
468,classicism,BELONGS_TO_STYLE
469,romanticism,BELONGS_TO_STYLE
470,classicism,BELONGS_TO_STYLE
471,romanticism,BELONGS_TO_STYLE
472,romanticism,BELONGS_TO_STYLE
473,classicism,BELONGS_TO_STYLE
474,romanticism,BELONGS_TO_STYLE
475,classicism,BELONGS_TO_STYLE
476,meticulous,BELONGS_TO_STYLE
477,classicism,BELONGS_TO_STYLE
478,classicism,BELONGS_TO_STYLE
479,freehand,BELONGS_TO_STYLE
480,romanticism,BELONGS_TO_STYLE
481,romanticism,BELONGS_TO_STYLE
482,freehand,BELONGS_TO_STYLE
483,classicism,BELONGS_TO_STYLE
484,freehand,BELONGS_TO_STYLE
485,symbolism,BELONGS_TO_STYLE
486,classicism,BELONGS_TO_STYLE
487,classicism,BELONGS_TO_STYLE
488,romanticism,BELONGS_TO_STYLE
489,meticulous,BELONGS_TO_STYLE
490,classicism,BELONGS_TO_STYLE
491,romanticism,BELONGS_TO_STYLE
492,romanticism,BELONGS_TO_STYLE
493,symbolism,BELONGS_TO_STYLE
494,symbolism,BELONGS_TO_STYLE
495,meticulous,BELONGS_TO_STYLE
496,classicism,BELONGS_TO_STYLE
497,classicism,BELONGS_TO_STYLE
498,symbolism,BELONGS_TO_STYLE
499,freehand,BELONGS_TO_STYLE
500,symbolism,BELONGS_TO_STYLE
501,symbolism,BELONGS_TO_STYLE
502,symbolism,BELONGS_TO_STYLE
503,freehand,BELONGS_TO_STYLE
504,romanticism,BELONGS_TO_STYLE
505,symbolism,BELONGS_TO_STYLE
506,romanticism,BELONGS_TO_STYLE
507,classicism,BELONGS_TO_STYLE
508,classicism,BELONGS_TO_STYLE
509,freehand,BELONGS_TO_STYLE
510,romanticism,BELONGS_TO_STYLE
511,classicism,BELONGS_TO_STYLE
512,romanticism,BELONGS_TO_STYLE
513,romanticism,BELONGS_TO_STYLE
514,romanticism,BELONGS_TO_STYLE
515,classicism,BELONGS_TO_STYLE
516,romanticism,BELONGS_TO_STYLE
517,symbolism,BELONGS_TO_STYLE
518,symbolism,BELONGS_TO_STYLE
519,symbolism,BELONGS_TO_STYLE
520,romanticism,BELONGS_TO_STYLE
521,freehand,BELONGS_TO_STYLE
522,freehand,BELONGS_TO_STYLE
523,classicism,BELONGS_TO_STYLE
524,romanticism,BELONGS_TO_STYLE
525,symbolism,BELONGS_TO_STYLE
526,symbolism,BELONGS_TO_STYLE
527,classicism,BELONGS_TO_STYLE
528,symbolism,BELONGS_TO_STYLE
529,classicism,BELONGS_TO_STYLE
530,symbolism,BELONGS_TO_STYLE
531,symbolism,BELONGS_TO_STYLE
532,classicism,BELONGS_TO_STYLE
533,freehand,BELONGS_TO_STYLE
534,romanticism,BELONGS_TO_STYLE
535,classicism,BELONGS_TO_STYLE
536,classicism,BELONGS_TO_STYLE
537,symbolism,BELONGS_TO_STYLE
538,symbolism,BELONGS_TO_STYLE
539,meticulous,BELONGS_TO_STYLE
540,romanticism,BELONGS_TO_STYLE
541,classicism,BELONGS_TO_STYLE
542,symbolism,BELONGS_TO_STYLE
543,romanticism,BELONGS_TO_STYLE
544,romanticism,BELONGS_TO_STYLE
545,romanticism,BELONGS_TO_STYLE
546,freehand,BELONGS_TO_STYLE
547,classicism,BELONGS_TO_STYLE
548,freehand,BELONGS_TO_STYLE
549,meticulous,BELONGS_TO_STYLE
550,symbolism,BELONGS_TO_STYLE
551,classicism,BELONGS_TO_STYLE
552,symbolism,BELONGS_TO_STYLE
553,freehand,BELONGS_TO_STYLE
554,freehand,BELONGS_TO_STYLE
555,romanticism,BELONGS_TO_STYLE
556,meticulous,BELONGS_TO_STYLE
557,symbolism,BELONGS_TO_STYLE
558,meticulous,BELONGS_TO_STYLE
559,symbolism,BELONGS_TO_STYLE
560,classicism,BELONGS_TO_STYLE
561,classicism,BELONGS_TO_STYLE
562,classicism,BELONGS_TO_STYLE
563,symbolism,BELONGS_TO_STYLE
564,classicism,BELONGS_TO_STYLE
565,meticulous,BELONGS_TO_STYLE
566,symbolism,BELONGS_TO_STYLE
567,symbolism,BELONGS_TO_STYLE
568,symbolism,BELONGS_TO_STYLE
569,romanticism,BELONGS_TO_STYLE
570,classicism,BELONGS_TO_STYLE
571,freehand,BELONGS_TO_STYLE
572,symbolism,BELONGS_TO_STYLE
573,freehand,BELONGS_TO_STYLE
574,romanticism,BELONGS_TO_STYLE
575,symbolism,BELONGS_TO_STYLE
576,symbolism,BELONGS_TO_STYLE
577,classicism,BELONGS_TO_STYLE
578,freehand,BELONGS_TO_STYLE
579,romanticism,BELONGS_TO_STYLE
580,freehand,BELONGS_TO_STYLE
581,freehand,BELONGS_TO_STYLE
582,freehand,BELONGS_TO_STYLE
583,romanticism,BELONGS_TO_STYLE
584,symbolism,BELONGS_TO_STYLE
585,classicism,BELONGS_TO_STYLE
586,symbolism,BELONGS_TO_STYLE
587,classicism,BELONGS_TO_STYLE
588,romanticism,BELONGS_TO_STYLE
589,freehand,BELONGS_TO_STYLE
590,classicism,BELONGS_TO_STYLE
591,classicism,BELONGS_TO_STYLE
592,meticulous,BELONGS_TO_STYLE
593,freehand,BELONGS_TO_STYLE
594,meticulous,BELONGS_TO_STYLE
595,meticulous,BELONGS_TO_STYLE
596,romanticism,BELONGS_TO_STYLE
597,meticulous,BELONGS_TO_STYLE
598,classicism,BELONGS_TO_STYLE
599,symbolism,BELONGS_TO_STYLE
600,classicism,BELONGS_TO_STYLE
601,classicism,BELONGS_TO_STYLE
602,freehand,BELONGS_TO_STYLE
603,symbolism,BELONGS_TO_STYLE
604,freehand,BELONGS_TO_STYLE
605,symbolism,BELONGS_TO_STYLE
606,romanticism,BELONGS_TO_STYLE
607,symbolism,BELONGS_TO_STYLE
608,romanticism,BELONGS_TO_STYLE
609,symbolism,BELONGS_TO_STYLE
610,freehand,BELONGS_TO_STYLE
611,classicism,BELONGS_TO_STYLE
612,romanticism,BELONGS_TO_STYLE
613,freehand,BELONGS_TO_STYLE
614,meticulous,BELONGS_TO_STYLE
615,symbolism,BELONGS_TO_STYLE
616,romanticism,BELONGS_TO_STYLE
617,romanticism,BELONGS_TO_STYLE
618,symbolism,BELONGS_TO_STYLE
619,meticulous,BELONGS_TO_STYLE
620,symbolism,BELONGS_TO_STYLE
621,meticulous,BELONGS_TO_STYLE
622,symbolism,BELONGS_TO_STYLE
623,classicism,BELONGS_TO_STYLE
624,romanticism,BELONGS_TO_STYLE
625,romanticism,BELONGS_TO_STYLE
626,romanticism,BELONGS_TO_STYLE
627,classicism,BELONGS_TO_STYLE
628,symbolism,BELONGS_TO_STYLE
629,classicism,BELONGS_TO_STYLE
630,symbolism,BELONGS_TO_STYLE
631,classicism,BELONGS_TO_STYLE
632,classicism,BELONGS_TO_STYLE
633,symbolism,BELONGS_TO_STYLE
634,meticulous,BELONGS_TO_STYLE
635,classicism,BELONGS_TO_STYLE
636,romanticism,BELONGS_TO_STYLE
637,classicism,BELONGS_TO_STYLE
638,classicism,BELONGS_TO_STYLE
639,freehand,BELONGS_TO_STYLE
640,classicism,BELONGS_TO_STYLE
641,freehand,BELONGS_TO_STYLE
642,classicism,BELONGS_TO_STYLE
643,symbolism,BELONGS_TO_STYLE
644,symbolism,BELONGS_TO_STYLE
645,symbolism,BELONGS_TO_STYLE
646,symbolism,BELONGS_TO_STYLE
647,classicism,BELONGS_TO_STYLE
648,classicism,BELONGS_TO_STYLE
649,romanticism,BELONGS_TO_STYLE
650,romanticism,BELONGS_TO_STYLE
651,symbolism,BELONGS_TO_STYLE
652,freehand,BELONGS_TO_STYLE
653,romanticism,BELONGS_TO_STYLE
654,meticulous,BELONGS_TO_STYLE
655,symbolism,BELONGS_TO_STYLE
656,romanticism,BELONGS_TO_STYLE
657,classicism,BELONGS_TO_STYLE
658,romanticism,BELONGS_TO_STYLE
659,freehand,BELONGS_TO_STYLE
660,classicism,BELONGS_TO_STYLE
661,classicism,BELONGS_TO_STYLE
662,romanticism,BELONGS_TO_STYLE
663,romanticism,BELONGS_TO_STYLE
664,symbolism,BELONGS_TO_STYLE
665,symbolism,BELONGS_TO_STYLE
666,meticulous,BELONGS_TO_STYLE
667,classicism,BELONGS_TO_STYLE
668,classicism,BELONGS_TO_STYLE
669,symbolism,BELONGS_TO_STYLE
670,symbolism,BELONGS_TO_STYLE
671,symbolism,BELONGS_TO_STYLE
672,classicism,BELONGS_TO_STYLE
673,symbolism,BELONGS_TO_STYLE
674,symbolism,BELONGS_TO_STYLE
675,classicism,BELONGS_TO_STYLE
676,classicism,BELONGS_TO_STYLE
677,romanticism,BELONGS_TO_STYLE
678,freehand,BELONGS_TO_STYLE
